Name,Year,Gender,State,Count
Ashley,1997,F,AK,45
Abigail,1997,F,AK,32
Alyssa,1997,F,AK,32
Amanda,1997,F,AK,28
Amber,1997,F,AK,27
Alexis,1997,F,AK,25
Alexandra,1997,F,AK,20
Anna,1997,F,AK,20
Allison,1997,F,AK,19
Alicia,1997,F,AK,12
Angela,1997,F,AK,12
Angel,1997,F,AK,9
Ariel,1997,F,AK,9
Ashlyn,1997,F,AK,9
Adriana,1997,F,AK,7
Alexandria,1997,F,AK,7
Anastasia,1997,F,AK,7
Andrea,1997,F,AK,7
Angelica,1997,F,AK,7
April,1997,F,AK,7
Arianna,1997,F,AK,7
Aurora,1997,F,AK,7
Autumn,1997,F,AK,7
Alice,1997,F,AK,6
Amelia,1997,F,AK,6
Amy,1997,F,AK,6
Ashleigh,1997,F,AK,6
Adrianna,1997,F,AK,5
Alexa,1997,F,AK,5
Alissa,1997,F,AK,5
Annie,1997,F,AK,5
Alyssa,1998,F,AK,46
Ashley,1998,F,AK,43
Alexis,1998,F,AK,33
Amber,1998,F,AK,30
Amanda,1998,F,AK,24
Abigail,1998,F,AK,19
Autumn,1998,F,AK,19
Alexandra,1998,F,AK,17
Amy,1998,F,AK,17
Anna,1998,F,AK,17
Alicia,1998,F,AK,12
Andrea,1998,F,AK,12
Alexandria,1998,F,AK,11
Alexa,1998,F,AK,10
Allison,1998,F,AK,10
Amelia,1998,F,AK,10
Angela,1998,F,AK,9
Aurora,1998,F,AK,9
Annie,1998,F,AK,8
Ariel,1998,F,AK,8
Audrey,1998,F,AK,7
Anastasia,1998,F,AK,6
Ariana,1998,F,AK,6
Arianna,1998,F,AK,6
Alanna,1998,F,AK,5
Angelica,1998,F,AK,5
Aubrey,1998,F,AK,5
Ava,1998,F,AK,5
Ashley,1999,F,AK,40
Alexis,1999,F,AK,32
Amber,1999,F,AK,23
Amanda,1999,F,AK,21
Anna,1999,F,AK,21
Alexandra,1999,F,AK,20
Abigail,1999,F,AK,19
Alyssa,1999,F,AK,17
Audrey,1999,F,AK,15
Autumn,1999,F,AK,14
Alexandria,1999,F,AK,13
Allison,1999,F,AK,13
Aurora,1999,F,AK,13
Ariel,1999,F,AK,11
Arianna,1999,F,AK,9
Andrea,1999,F,AK,8
April,1999,F,AK,8
Amy,1999,F,AK,7
Angel,1999,F,AK,7
Ashlyn,1999,F,AK,7
Alicia,1999,F,AK,6
Amelia,1999,F,AK,6
Angelica,1999,F,AK,6
Ariana,1999,F,AK,6
Aaliyah,1999,F,AK,5
Alison,1999,F,AK,5
Angela,1999,F,AK,5
Avery,1999,F,AK,5
Ashley,2000,F,AK,36
Anna,2000,F,AK,34
Alyssa,2000,F,AK,31
Abigail,2000,F,AK,28
Alexis,2000,F,AK,23
Amber,2000,F,AK,22
Alexandra,2000,F,AK,16
Amanda,2000,F,AK,16
Audrey,2000,F,AK,16
Allison,2000,F,AK,14
Andrea,2000,F,AK,11
Ariana,2000,F,AK,11
Aurora,2000,F,AK,11
Autumn,2000,F,AK,10
Alexandria,2000,F,AK,9
Angel,2000,F,AK,9
Angela,2000,F,AK,9
Amy,2000,F,AK,8
Angelina,2000,F,AK,8
Adrianna,2000,F,AK,5
Alicia,2000,F,AK,5
Alison,2000,F,AK,5
Alissa,2000,F,AK,5
Ariel,2000,F,AK,5
Ashleigh,2000,F,AK,5
Ashlyn,2000,F,AK,5
Ashley,2001,F,AK,40
Abigail,2001,F,AK,39
Alexis,2001,F,AK,27
Alyssa,2001,F,AK,27
Anna,2001,F,AK,24
Amber,2001,F,AK,23
Autumn,2001,F,AK,17
Amanda,2001,F,AK,16
Audrey,2001,F,AK,12
Alexandra,2001,F,AK,11
Alexia,2001,F,AK,11
Aurora,2001,F,AK,11
Amy,2001,F,AK,10
Adriana,2001,F,AK,9
Allison,2001,F,AK,9
Andrea,2001,F,AK,9
Angela,2001,F,AK,9
Arianna,2001,F,AK,9
Alexandria,2001,F,AK,8
Angel,2001,F,AK,7
Ariana,2001,F,AK,7
Ashlyn,2001,F,AK,7
Abby,2001,F,AK,6
Adeline,2001,F,AK,6
Alicia,2001,F,AK,6
Angelina,2001,F,AK,6
Annie,2001,F,AK,6
Ariel,2001,F,AK,6
Ashlee,2001,F,AK,6
Aubrey,2001,F,AK,6
Aaliyah,2001,F,AK,5
Alanna,2001,F,AK,5
Alisha,2001,F,AK,5
Alissa,2001,F,AK,5
Alexis,2002,F,AK,34
Ashley,2002,F,AK,34
Abigail,2002,F,AK,27
Anna,2002,F,AK,25
Alyssa,2002,F,AK,22
Amanda,2002,F,AK,17
Aurora,2002,F,AK,17
Allison,2002,F,AK,14
Autumn,2002,F,AK,14
Amber,2002,F,AK,13
Audrey,2002,F,AK,13
Andrea,2002,F,AK,12
Angel,2002,F,AK,12
Alexia,2002,F,AK,11
Angelina,2002,F,AK,10
Alexa,2002,F,AK,9
Alexandra,2002,F,AK,9
Alicia,2002,F,AK,9
Ayla,2002,F,AK,8
Aaliyah,2002,F,AK,7
Ariana,2002,F,AK,7
Ashlyn,2002,F,AK,7
